backend,collective,topology,nodes,shape,dims,size_bytes,link_bw_GBps,link_lat_ns,latency_ns
analytical,all_reduce,torus2d,32,4x8,2,1073741824,50.0,500.0,31522268
analytical,all_reduce,switch,64,64,1,1024,50.0,500.0,509080
analytical,all_reduce,switch,64,64,1,4096,50.0,500.0,509080
analytical,all_reduce,switch,64,64,1,16384,50.0,500.0,509584
analytical,all_reduce,switch,64,64,1,65536,50.0,500.0,511096
analytical,all_reduce,switch,64,64,1,262144,50.0,500.0,518656
analytical,all_reduce,switch,64,64,1,1048576,50.0,500.0,548896
analytical,all_reduce,switch,64,64,1,4194304,50.0,500.0,670360
analytical,all_reduce,switch,64,64,1,16777216,50.0,500.0,1154200
analytical,all_reduce,switch,64,64,1,67108864,50.0,500.0,3092836
analytical,all_reduce,switch,64,64,1,268435456,50.0,500.0,10847884
analytical,all_reduce,switch,64,64,1,1073741824,50.0,500.0,41865556
analytical,all_reduce,torus2d,64,8x8,2,1024,50.0,500.0,35760
analytical,all_reduce,torus2d,64,8x8,2,4096,50.0,500.0,35788
analytical,all_reduce,torus2d,64,8x8,2,16384,50.0,500.0,35942
analytical,all_reduce,torus2d,64,8x8,2,65536,50.0,500.0,36537
analytical,all_reduce,torus2d,64,8x8,2,262144,50.0,500.0,39057
analytical,all_reduce,torus2d,64,8x8,2,1048576,50.0,500.0,64480
analytical,all_reduce,torus2d,64,8x8,2,4194304,50.0,500.0,172140
analytical,all_reduce,torus2d,64,8x8,2,16777216,50.0,500.0,602948
analytical,all_reduce,torus2d,64,8x8,2,67108864,50.0,500.0,2326152
analytical,all_reduce,torus2d,64,8x8,2,268435456,50.0,500.0,9218968
analytical,all_reduce,torus2d,64,8x8,2,1073741824,50.0,500.0,36790204
analytical,all_gather,switch,4,4,1,1024,50.0,500.0,12208
analytical,all_gather,switch,4,4,1,4096,50.0,500.0,12388
analytical,all_gather,switch,4,4,1,16384,50.0,500.0,13072
analytical,all_gather,switch,4,4,1,65536,50.0,500.0,15820
analytical,all_gather,switch,4,4,1,262144,50.0,500.0,26800
analytical,all_gather,switch,4,4,1,1048576,50.0,500.0,70744
analytical,all_gather,switch,4,4,1,4194304,50.0,500.0,246532
analytical,all_gather,switch,4,4,1,16777216,50.0,500.0,949660
analytical,all_gather,switch,4,4,1,67108864,50.0,500.0,3762160
analytical,all_gather,switch,4,4,1,268435456,50.0,500.0,15012160
